Start Nr.;Platz;Zeit 1;Zeit 2;Gesamtzeit
1;32;00:05,53;00:05,92;00:11,45
2;15;00:05,19;00:05,49;00:10,68
3;61;00:06,80;00:06,99;00:13,79
4;26;00:05,63;00:05,60;00:11,23
5;18;00:05,35;00:05,48;00:10,83
6;57;00:07,10;00:06,28;00:13,38
7;25;00:05,38;00:05,83;00:11,21
8;17;00:05,24;00:05,53;00:10,77
9;6;00:04,85;00:05,36;00:10,21
10;31;00:05,19;00:06,23;00:11,42
11;70;00:07,93;00:08,27;00:16,20
12;23;00:05,41;00:05,76;00:11,17
13;9;00:05,01;00:05,26;00:10,27
14;34;00:05,74;00:05,77;00:11,51
15;12;00:05,54;00:04,95;00:10,49
16;8;00:05,24;00:05,01;00:10,25
17;71;09:59,99;09:59,99;19:59,98
18;26;00:05,98;00:05,25;00:11,23
19;19;00:05,51;00:05,34;00:10,85
20;49;00:06,39;00:06,19;00:12,58
21;2;00:04,86;00:04,80;00:09,66
22;59;00:07,15;00:06,63;00:13,78
23;14;00:05,30;00:05,36;00:10,66
24;20;00:05,50;00:05,47;00:10,97
25;26;00:05,77;00:05,46;00:11,23
26;30;00:05,89;00:05,46;00:11,35
27;65;00:07,65;00:06,94;00:14,59
28;10;00:05,32;00:05,07;00:10,39
29;29;00:05,44;00:05,79;00:11,23
30;37;00:06,03;00:05,73;00:11,76
31;47;00:06,52;00:06,00;00:12,52
32;13;00:05,29;00:05,36;00:10,65
33;44;00:06,03;00:06,20;00:12,23
34;35;00:05,73;00:05,90;00:11,63
35;52;00:06,30;00:06,72;00:13,02
36;64;00:07,21;00:07,37;00:14,58
37;68;00:07,38;00:07,86;00:15,24
38;3;00:04,88;00:04,97;00:09,85
39;6;00:04,95;00:05,26;00:10,21
40;72;09:59,99;09:59,99;19:59,98
41;66;00:07,18;00:07,46;00:14,64
42;55;00:06,53;00:06,70;00:13,23
43;59;00:06,83;00:06,95;00:13,78
44;45;00:06,30;00:05,97;00:12,27
45;22;00:05,55;00:05,47;00:11,02
46;5;00:05,19;00:04,82;00:10,01
47;51;00:06,38;00:06,63;00:13,01
48;39;00:05,85;00:05,92;00:11,77
49;46;00:06,64;00:05,86;00:12,50
50;63;00:07,51;00:06,72;00:14,23
51;33;00:05,62;00:05,88;00:11,50
52;36;00:05,79;00:05,92;00:11,71
53;73;09:59,99;09:59,99;19:59,98
54;58;00:06,58;00:07,04;00:13,62
55;55;00:06,82;00:06,41;00:13,23
56;10;00:04,90;00:05,49;00:10,39
57;41;00:05,70;00:06,13;00:11,83
58;1;00:04,97;00:04,47;00:09,44
59;40;00:06,03;00:05,77;00:11,80
60;74;09:59,99;09:59,99;19:59,98
61;75;09:59,99;09:59,99;19:59,98
62;42;00:05,82;00:06,11;00:11,93
63;67;00:07,24;00:07,57;00:14,81
64;53;00:06,70;00:06,38;00:13,08
65;53;00:06,63;00:06,45;00:13,08
66;69;00:07,77;00:07,50;00:15,27
67;49;00:06,21;00:06,37;00:12,58
68;21;00:05,50;00:05,49;00:10,99
69;62;00:07,24;00:06,65;00:13,89
70;4;00:04,87;00:05,05;00:09,92
71;16;00:05,43;00:05,30;00:10,73
72;43;00:05,72;00:06,32;00:12,04
73;48;00:05,99;00:06,55;00:12,54
74;76;09:59,99;09:59,99;19:59,98
75;37;00:05,83;00:05,93;00:11,76
76;23;00:05,53;00:05,64;00:11,17
77;76;09:59,99;09:59,99;19:59,98
