Start Nr.;Zeit 1;Zeit 2;Gesamtzeit;Platz;Wertungspunkte
20;0:04,45;0:03,96;0:08,41;1;
38;0:04,09;0:04,46;0:08,55;2;
30;0:04,56;0:04,26;0:08,82;3;
17;0:04,61;0:04,39;0:09,00;4;
26;0:04,51;0:04,50;0:09,01;5;
40;0:04,67;0:04,38;0:09,05;6;
13;0:04,61;0:04,46;0:09,07;7;
39;0:04,64;0:04,57;0:09,21;8;
18;0:04,39;0:04,85;0:09,24;9;
31;0:04,99;0:04,33;0:09,32;10;
19;0:04,61;0:04,77;0:09,38;11;
41;0:04,66;0:04,84;0:09,50;12;
45;0:04,60;0:04,92;0:09,52;13;
22;0:04,08;0:05,45;0:09,53;14;
49;0:04,76;0:04,79;0:09,55;15;
3;0:04,83;0:04,73;0:09,56;16
12;0:04,62;0:04,99;0:09,61;17
43;0:05,21;0:04,44;0:09,65;18
1;0:04,68;0:05,00;0:09,68;19
2;0:04,88;0:04,87;0:09,75;20
14;0:04,83;0:04,93;0:09,76;21
24;0:04,94;0:04,83;0:09,77;22
52;0:05,10;0:04,75;0:09,85;23
28;0:04,83;0:05,05;0:09,88;24
4;0:05,08;0:04,85;0:09,93;25
7;0:05,13;0:04,86;0:09,99;26
29;0:04,76;0:05,23;0:09,99;26
44;0:05,10;0:05,00;0:10,10;28
50;0:05,21;0:05,13;0:10,34;29
23;0:05,56;0:04,79;0:10,35;30
33;0:05,00;0:05,56;0:10,56;31
25;0:05,60;0:05,11;0:10,71;32
16;0:05,40;0:05,32;0:10,72;33
8;0:05,40;0:05,38;0:10,78;34
34;0:05,57;0:05,59;0:11,16;35
46;0:05,82;0:05,37;0:11,19;36
37;0:05,88;0:05,32;0:11,20;37
5;0:05,10;0:06,11;0:11,21;38
27;0:05,66;0:05,69;0:11,35;39
15;0:05,66;0:05,73;0:11,39;40
36;0:05,83;0:05,58;0:11,41;41
51;0:05,45;0:06,00;0:11,45;42
32;0:05,31;0:06,16;0:11,47;43
10;0:05,93;0:05,76;0:11,69;44
42;0:06,00;0:05,75;0:11,75;45
9;0:06,01;0:05,88;0:11,89;46
6;0:06,23;0:06,33;0:12,56;47
35;0:06,09;0:06,76;0:12,85;48
21;0:05,90;0:07,00;0:12,90;49
48;0:06,70;0:06,21;0:12,91;50
11;0:05,78;0:07,98;0:13,76;51
47;0:07,09;0:06,90;0:13,99;52
