Platz;Start Nr.;Trial Punkte 1;Trial Punkte 2;Gesamtpunkte
1;3;0;0;0
1;5;0;0;0
1;8;0;0;0
1;11;0;0;0
1;13;0;0;0
1;15;0;0;0
1;24;0;0;0
1;26;0;0;0
1;42;0;0;0
1;44;0;0;0
1;50;0;0;0
1;53;0;0;0
13;9;1;0;1
13;28;1;0;1
13;49;1;0;1
13;52;1;0;1
13;56;1;0;1
18;1;0;2;2
19;10;3;0;3
19;21;2;1;3
19;25;0;3;3
22;39;3;1;4
23;4;0;5;5
23;16;5;0;5
23;22;5;0;5
23;30;5;0;5
23;31;3;2;5
23;59;5;0;5
29;2;5;1;6
29;17;5;1;6
29;23;5;1;6
29;45;1;5;6
29;55;5;1;6
34;19;5;3;8
34;27;5;3;8
34;40;5;3;8
34;66;4;4;8
38;68;4;5;9
38;69;5;4;9
40;6;5;5;10
40;7;5;5;10
40;12;5;5;10
40;14;5;5;10
40;18;5;5;10
40;20;5;5;10
40;29;5;5;10
40;33;5;5;10
40;34;5;5;10
40;35;5;5;10
40;36;5;5;10
40;37;5;5;10
40;38;5;5;10
40;46;5;5;10
40;47;5;5;10
40;48;5;5;10
40;51;5;5;10
40;54;5;5;10
40;57;5;5;10
40;60;5;5;10
40;61;5;5;10
40;62;5;5;10
40;63;5;5;10
40;64;5;5;10
40;65;5;5;10
40;67;5;5;10
40;70;5;5;10
40;73;5;5;10
40;74;5;5;10
69;32;5;20;25
69;72;5;20;25
71;41;20;20;40
71;43;20;20;40
71;58;20;20;40
71;71;20;20;40
71;75;20;20;40
71;76;20;20;40
71;77;20;20;40
71;78;20;20;40
71;79;20;20;40
71;80;20;20;40
71;81;20;20;40
71;82;20;20;40
71;83;20;20;40
71;84;20;20;40
71;85;20;20;40
71;86;20;20;40
71;87;20;20;40
71;88;20;20;40
71;89;20;20;40
71;90;20;20;40
71;91;20;20;40
71;92;20;20;40
71;93;20;20;40
71;94;20;20;40
71;95;20;20;40
71;96;20;20;40
71;97;20;20;40
71;98;20;20;40
71;99;20;20;40
